airport-id	latitude	longitude	airport-name
AAA	-17.3542	-145.4961	Anaa                                    
AAC	31.0733	33.8358	EL-ARISH
AAE	36.8222	7.8094	,Annaba                                  
AAF	29.7275	-85.0274	APALACHICOLA MUNI AIRPORT
AAG	-24.1036	-49.7900	ARAPOTI
AAL	57.0928	9.8492	Aalborg Airport
AAM	-24.8181	31.5446	  Mala Mala
AAN	24.2617	55.6092	Al Ain
AAP	-0.2225	117.1520	Aji Pangeran Tumenggung Pranoto
AAQ	45.0017	37.3483	Anapa                                   
AAR	56.3000	10.6190	Aarhus Tirstrup Airport
AAT	47.7200	88.1500	Altay                                   
AAX	-19.5603	-46.9653	Araxa                                   
AAY	16.1917	52.1750	Al Ghaydah                              
ABA	53.7417	91.3850	Abakan
ABB	6.1978	6.7285	Asaba                                   
ABC	38.9480	-1.8630	Albacete
ABD	30.3667	48.2333	Abadan
ABE	40.6521	-75.4408	Allentown/Bethlehem/Easton
ABH	-23.6583	146.5917	ALPHA
ABI	32.4113	-99.6819	Abilene Regional Apt
ABJ	5.2544	-3.9286	Abidjan
ABK	6.7340	44.2530	Kebri Dehar
ABL	67.1063	-157.8575	Ambler
ABM	-10.9500	142.4600	Bamaga                                  
ABQ	35.0402	-106.6092	Albuquerque
ABR	45.4490	-98.4218	Aberdeen
ABS	22.3758	31.6117	Abu Simbel                              
ABT	20.2961	41.6342	Al Baha      
ABU	-9.0429	124.5412	Haliwen                        
ABV	9.0069	7.2631	Abuja
ABX	-36.0689	146.9564	Albury
ABY	31.5369	-84.1945	Albany Dougherty County Apt
ABZ	57.2019	-2.1978	Aberdeen
ACA	16.7571	-99.7538	Acapulco
ACC	5.5964	-0.1700	Accra
ACE	28.9455	-13.6052	Lanzarote
ACH	47.4850	9.5619	Altenrhein
ACI	49.7061	-2.2147	Alderney
ACK	41.2531	-70.0602	Nantucket                               
ACP	37.7333	46.4500	Maragheh                                
ACR	0.6007	-72.3980	Araracuara
ACT	31.6113	-97.2305	Waco Municipal Apt
ACU	9.1830	-78.0170	Achutupo
ACV	40.9781	-124.1086	Arcata/Eureka
ACX	25.0500	104.9833	Xingyi
ACY	39.4576	-74.5772	Atlantic City International
ACZ	31.0983	61.5439	Zabol
ADA	36.9825	35.2831	Adana                                   
ADB	38.2892	27.1550	Izmir Adnan Menderes Apt                
ADD	8.9750	38.7994	Addis Ababa
ADE	12.8289	45.0297	Aden
ADF	37.7308	38.4689	Adiyaman                                
ADH	58.6000	125.4000	ALDAN
ADJ	31.9727	35.9916	AMMAN MARKA INTL
ADK	51.8780	-176.6460	Adak Island
ADL	-34.9450	138.5300	Adelaide International
ADP	8.3000	80.4767	ANURADHAPURA
ADQ	57.7500	-152.4939	Kodiak Apt
ADS	32.9697	-96.8386	DALLAS/ADDISON
ADU	38.3267	48.4242	Ardabil                                 
ADW	38.8108	-76.8670	ANDREWS AFB
ADX	56.3733	-2.8683	LEUCHARS
ADZ	12.5836	-81.7108	San Andres Island
AEB	23.7200	106.9600	Baise
AEG	1.4001	99.4305	  Padang Sidempuan
AEH	13.8472	20.8488	ABECHE
AEO	16.7167	-9.6333	AIOUN-EL-ATROUSS
AEP	-34.5589	-58.4164	Buenos Aires Aeroparque J. Newbery
AER	43.4450	39.9483	Sochi
AES	62.5625	6.1197	Alesund
AET	66.5518	-152.6222	Allakaket
AEU	25.5232	55.0158	Abu Musa
AEX	31.3274	-92.5486	Alexandria International Apt
AEY	65.6586	-18.0722	Akureyri
AFA	-34.5883	-68.4033	San Rafael
AFB	46.8433	6.9167	PAYERNE AFB
AFL	-9.8661	-56.1044	Alta Floresta
AFS	41.6133	64.2328	Zarafshan
AFT	-9.1911	160.9492	  Afutara
AFW	32.9876	-97.3188	FORT WORTH ALLIANCE
AFY	38.7339	30.5953	AFYON
AFZ	36.1681	57.5953	Sabzevar                                
AGA	30.3250	-9.4131	Agadir
AGB	48.4252	10.9318	Munich Augsburg Apt
AGC	40.3544	-79.9302	PITTSBURH/ALLEGHENY CO
AGF	44.1747	0.5906	Agen
AGH	56.2911	12.8550	Angelholm/Helsingborg Angelholm Apt
AGL	-9.3330	149.1500	  Wanigela
AGM	65.6122	-37.6183	Tasiilaq
AGN	57.5036	-134.5851	Angoon
AGP	36.6750	-4.4992	Malaga                                  
AGQ	38.6020	21.3512	AGRINION
AGR	27.1500	77.9500	Agra
AGS	33.3367	-81.9645	Augusta Bush Field
AGT	-25.4558	-54.8437	Ciudad del Este                         
AGU	21.7047	-102.3175	Aguascalientes                          
AGV	9.5500	-69.2333	ACARIGUA
AGX	10.8237	72.1760	Agatti Island
AGZ	-29.2792	18.8175	AGGENEYS
AHB	18.2404	42.6565	Abha
AHE	-14.4278	-146.2550	Ahe
AHJ	32.3145	102.2125	Hongyuan
AHN	33.9486	-83.3263	Athens
AHO	40.6322	8.2894	Alghero
AHS	15.4722	-84.3522	  Ahuas
AHU	35.1806	-3.8317	Al Hoceima
AIA	42.0532	-102.8037	Alliance
AIC	7.1000	171.2333	XXX
AID	40.1087	-85.6130	ANDERSON MUN DARLINGTON FLD
AIF	-22.6394	-50.4525	ASSIS
AIM	10.2000	169.9833	XXX
AIN	70.6380	-159.9948	Wainwright
AIP	31.2559	75.4538	Adampur
AIR	-10.2500	-59.3833	Aripuana Airport
AIT	-18.8309	-159.7642	Aitutaki Island
AIU	-19.9678	-158.1192	Atiu Island                             
AJA	41.9239	8.8025	Ajaccio
AJF	29.7852	40.0996	Jouf                                    
AJI	39.6627	43.0232	Agri
AJK	34.0817	49.5050	Arak                             
AJL	23.7333	92.8000	Aizawl
AJN	-12.1317	44.4303	Anjouan
AJR	65.5903	19.2819	Arvidsjaur
AJU	-10.9853	-37.0733	Aracaju
AJY	16.9622	7.9903	AGADEZ/MANU DAYAK
AKA	32.7081	108.9314	  Ankang
AKB	52.2203	-174.2063	Atka                                    
AKC	41.0375	-81.4669	AKRON
AKD	20.6978	77.0589	AKOLA
AKF	24.1767	23.3150	Kufra
AKH	35.2026	-81.1498	GASTONIA MUNI
AKI	60.9029	-161.2306	Akiak                                   
AKJ	43.6707	142.4475	Asahikawa
AKK	56.9387	-154.1826	Akhiok
AKL	-37.0081	174.7917	Auckland International Apt
