equipment-id	equipment-name
100	Fokker 100
141	British Aerospace BAe 146-100
142	British Aerospace BAe 146-200
143	British Aerospace BAe 146-300
146	British Aerospace BAe 146
14F	British Aerospace BAe 146 Freighter
14X	British Aerospace BAe 146-100QT/QC
14Y	British Aerospace BAe 146-200QT/QC
14Z	British Aerospace BAe 146-300QT/QC
290	Embraer E190-E2
310	Airbus Industrie A310
312	Airbus Industrie A310-200
313	Airbus Industrie A310-300
318	Airbus Industrie A318
319	Airbus Industrie A319
31F	Airbus Industrie A310 Freighter
31X	Airbus Industrie A310-200 Freighter
31Y	Airbus Industrie A310-300 Freighter
320	Airbus Industrie A320
321	Airbus Industrie A321
32A	Airbus Industrie A320-200 (Sharklets)
32B	Airbus Industrie A321-200 (Sharklets)
32S	Airbus Industrie A318/319/320/321
330	Airbus Industrie A330
332	Airbus Industrie A330-200
333	Airbus Industrie A330-300
339	Airbus Industrie A330-900
340	Airbus Industrie A340
342	Airbus Industrie A340-200
343	Airbus Industrie A340-300
345	Airbus Industrie A340-500
346	Airbus Industrie A340-600
350	Airbus Industrie A350
351	Airbus Industrie A350-1000
359	Airbus Industrie A350-900
380	Airbus Industrie A380
388	Airbus Industrie A380-800
38F	Airbus Industrie A380 Freighter
703	Boeing 707-300
707	Boeing 707/720
70F	Boeing 707-300 Freighter
70M	Boeing 707-300 Combi
717	Boeing 717-200
721	Boeing 727-100
722	Boeing 727-200
727	Boeing 727
72A	Boeing 727-200 Advanced
72B	Boeing 727-100 Combi
72C	Boeing 727-200 Combi
72F	Boeing 727 Freighter
72M	Boeing 727 Combi
72S	Boeing 727-200
72X	Boeing 727-100 Freighter
72Y	Boeing 727-200 Freighter
731	Boeing 737-100
732	Boeing 737-200
733	Boeing 737-300
734	Boeing 737-400
735	Boeing 737-500
736	Boeing 737-600
737	Boeing 737
738	Boeing 737-800
739	Boeing 737-900
7M8	Boeing 737-800 MAX
7M9	Boeing 737-900 MAX
73A	Boeing 737-200/200C Advanced
73C	Boeing 737-300
73E	Boeing 737-900ER
73F	Boeing 737 Freighter
73G	Boeing 737-700
73H	Boeing 737-800 With Winglets
73J	Boeing 737-900 With Winglets
73N	Boeing 737-300 Mixed Config
73M	Boeing 737-200 Combi
73P	Boeing 737-400 Freighter
73Q	Boeing 737-400 Mixed Config
73R	Boeing 737-700 Combi
73S	Boeing 737 Advanced
73W	Boeing 737-700 With Winglets
73X	Boeing 737-200 Freighter
73Y	Boeing 737-300 Freighter
741	Boeing 747-100
742	Boeing 747-200
743	Boeing 747-300 (including -100SUD and -200SUD)
744	Boeing 747-400
747	Boeing 747
74C	Boeing 747-200 Combi
74D	Boeing 747-300 Combi (including -200SUD)
74F	Boeing 747 Freighter
74E	Boeing 747-400 Combi
74H	Boeing 747-8 Intercontinental
74J	Boeing 747-400 Domestic
74L	Boeing 747SP
74M	Boeing 747 Combi
74T	Boeing 747-100 Freighter
74U	Boeing 747-300 Freighter
74V	Boeing 747SR Freighter
74X	Boeing 747-200 Freighter
74Y	Boeing 747-400 Freighter
752	Boeing 757-200
753	Boeing 757-300
75T	Boeing 757-300 With Winglets
75W	Boeing 757-200 With Winglets
757	Boeing 757
75F	Boeing 757-200 Freighter
75M	Boeing 757-200 Combi
762	Boeing 767-200
