airline	from	to	codeshare	stops	equipment
C7	MAO	CIZ		0	EMB
0B	BCM	BGY		0	735
0B	BCM	BLQ		0	733 735 738
0B	BCM	BRU		0	738
0B	BCM	DUB		0	735 738
0B	BCM	FCO		0	735 738
0B	BCM	LPL		0	733 735 738
0B	BCM	LTN		0	738
0B	BCM	TRN		0	733 735 738
0B	CLJ	DUB		0	738
0B	CLJ	TLV		0	738
0B	FCO	AHO		0	734
0B	IAS	BCN		0	735 738
0B	IAS	BRU		0	735 738
0B	IAS	BVA		0	733 735 738
0B	IAS	CGN		0	738
0B	IAS	FCO		0	735
0B	IAS	LTN		0	738
0B	IAS	MUC		0	738
0B	LCA	ATH		0	738
0B	LCA	SKG		0	738
0B	OTP	AGP		0	738
0B	OTP	ARN		0	733 735
0B	OTP	BCM		0	738
0B	OTP	BCN		0	733 734 738
0B	OTP	BHX		0	73G 738
0B	OTP	BRU		0	733 734 735 73G 738
0B	OTP	CDG		0	734 735 738
0B	OTP	CGN		0	734 735 738
0B	OTP	CLJ		0	738
0B	OTP	CPH		0	733 734 735 738
0B	OTP	CTA		0	733 734 735 738
0B	OTP	DUB		0	733 738
0B	OTP	FCO		0	733 734 735 73G 738
0B	OTP	FLR		0	733 735 73G
0B	OTP	GLA		0	733 73G 738
0B	OTP	HAM		0	734 735 73G 738
0B	OTP	HEL		0	734 735 73G 738
0B	OTP	IAS		0	735 738
0B	OTP	LCA		0	734 738
0B	OTP	LIN		0	735
0B	OTP	LIS		0	738
0B	OTP	LPL		0	734 73G 738
0B	OTP	LTN		0	734 73G 738
0B	OTP	LYS		0	734 735 73G 738
0B	OTP	MAD		0	733 738
0B	OTP	NAP		0	734 735 738
0B	OTP	NCE		0	734 73G 738
0B	OTP	OMR		0	735 738
0B	OTP	OSL		0	734 735 738
0B	OTP	STR		0	733 735 738
0B	OTP	TLV		0	733 734 738
0B	OTP	VLC		0	738
0B	SBZ	STR		0	733 734 735 738
0B	TRN	AHO		0	735
0B	TRN	CTA		0	735 738
0B	TRN	NAP		0	735 738
0B	TRN	SUF		0	735 738
0B	TRN	SVQ		0	735 738
1X	BKG	AUS	*	0	J41
1X	BKG	CVG	*	0	M83
1X	BKG	DEN	*	0	CR2
1X	BKG	HOU	*	0	CR2
1X	BKG	MDW	*	0	J41
1X	BKG	MSY	*	0	M83
1X	RFD	NFL	*	0	CR2
2B	TIA	BRI		0	734
2B	TIA	DUS		0	734
2B	TIA	FLR		0	734
2B	TIA	PEG		0	734
2B	TIA	PSA		0	734
2B	TIA	RMI		0	734
2B	TIA	STN		0	734
2B	TIA	VCE		0	734
2G	IKT	BTK		0	A81
2G	IKT	HTA		0	AN4
2G	IKT	KCK		0	AN4
2G	IKT	MJZ		0	A81
2G	IKT	ODO		0	AN4
2G	IKT	OVB		0	A81
2G	IKT	TLK		0	AN4
2G	IKT	UKX		0	AN4
2G	IKT	ULK		0	AN4
2G	IKT	YKS		0	A81
2G	KJA	TLK		0	A81
2G	OVB	TLK		0	A81
2G	OVB	TOF		0	A81
2G	OVB	UFA		0	A81
2G	SGC	TOF		0	A81
2I	LIM	CUZ		0	141
2I	LIM	IQT		0	141
2I	LIM	PCL		0	141
2I	LIM	TPP		0	141
2J	ACC	ABJ		0	E70 E95
2J	BOY	ABJ		0	E70 E95
2J	COO	LFW		0	CR9
2J	OUA	ABJ		0	CR9
2J	OUA	ACC		0	E70 E95
2J	OUA	BKO		0	CR9 E70 E95
2J	OUA	BOY		0	E70 E95
2J	OUA	COO		0	CR9
2J	OUA	DSS		0	E70 E95
2J	OUA	LFW		0	CR9
2J	OUA	NIM		0	E70 E95
2M	BZE	CUK		0	CNC
2M	BZE	CUN		0	CNC
2M	BZE	DGA		0	CNC
2M	BZE	PLJ		0	CNC
2M	BZE	PND		0	CNC
2M	BZE	SPR		0	CNC
2M	BZE	TZA		0	CNC
2M	SPR	CZH		0	CNC
2M	PLJ	DGA		0	CNC
2M	PLJ	PND		0	CNC
2M	TZA	DGA		0	CNC
2M	TZA	SPR		0	CNC
2O	ADQ	AOS		0	BNI
2O	ADQ	KKB		0	BNI
2O	ADQ	KLN		0	BNI
2O	ADQ	KOY		0	BNI
2O	ADQ	KOZ		0	BNI
2O	ADQ	KPY		0	BNI
2O	ADQ	OLH		0	BNI
2O	AOS	KZB		0	BNI
2O	KKB	SYB		0	BNI
2O	KLN	KYK		0	BNI
2O	KMY	ALZ		0	BNI
2O	KOY	KMY		0	BNI
2O	KOZ	ORI		0	BNI
2O	KPY	UGI		0	BNI
2O	SYB	KPR		0	BNI
2O	UGI	KWP		0	BNI
2T	AMD	IDR		0	AT7
2T	AMD	ISK		0	AT7
2T	AMD	IXU		0	AT7
2T	AMD	JSA		0	AT7
2T	AMD	PBD		0	AT7
2T	BLR	VDY		0	AT7
2T	BOM	NDC		0	AT7
2T	CDP	VGA		0	AT7
2T	HYD	CDP		0	AT7
2T	HYD	GOI		0	AT7
2T	HYD	IXU		0	AT7
2T	HYD	MAA		0	AT7
2T	HYD	NDC		0	AT7
2T	HYD	RJA		0	AT7
2T	HYD	TIR		0	AT7
2T	HYD	VDY		0	AT7
2T	HYD	VGA		0	AT7
2T	MAA	CDP		0	AT7
2T	MAA	MYQ		0	AT7
2T	MAA	SXV		0	AT7
2Z	BSB	BRA		0	AT7
2Z	GRU	UDI		0	AT7
2Z	GRU	VDC		0	AT7
2Z	GYN	PMW		0	AT7
2Z	GYN	UDI		0	AT7
2Z	PMW	AUX		0	AT7
2Z	RAO	BSB		0	AT7
2Z	RAO	GRU		0	AT7
2Z	RAO	GYN		0	AT7
2Z	RAO	SDU		0	AT7
2Z	VDC	SSA		0	AT7
2Z	SSA	BRA		0	AT7
2Z	SSA	PNZ		0	AT7
3B	SID	BVC		0	AT7
3B	SID	LPA		0	AT7
3B	SID	RAI		0	AT7
3B	SID	VXE		0	AT7
